,source,pre_emissions,pre_emissions_lower,pre_emissions_upper,ue_emissions,ue_emissions_lower,ue_emissions_upper,total_emissions,total_emissions_lower,total_emissions_upper
89,CH4_1B2_250m_-103.52913_32.22161?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,508231.7692425937,173045.8031253605,173045.8031253605,1787786.4085435118,1651167.3458801727,5238774.0919518005,2296018.1777861053,1660210.3644057503,5241631.314436824
90,CH4_1B2_250m_-103.52952_32.08578?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,343323.3956469251,101842.95232223562,101842.95232223562,2036764.5180826588,1812127.617623146,6081379.876782551,2380087.913729584,1814987.1871421703,6082232.582915049
91,CH4_1B2_250m_-103.53327_32.05728?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,3304451.7615372236,1089079.1126094966,1089079.1126094966,2036764.5180826588,1812127.617623146,6081379.876782551,3304451.7615372236,1089079.1126094966,1089079.1126094966
92,CH4_1B2_250m_-103.53848_32.19900?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,1077296.0435884374,264117.10064029635,264117.10064029635,2071404.9187692394,1870786.4181209863,6077739.934005852,3148700.9623576766,1889338.4199440253,6083476.02512413
93,CH4_1B2_250m_-103.54911_32.24338?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,112544.64497545404,32637.85805373981,32637.85805373981,3124750.508635595,2669299.118828641,9110967.832252584,3237295.153611049,2669498.644981431,9111026.290716086
94,CH4_1B2_250m_-103.54998_32.10781?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,2194620.390409325,554930.8840641662,554930.8840641662,3124750.508635595,2669299.118828641,9110967.832252584,2194620.390409325,554930.8840641662,554930.8840641662
95,CH4_1B2_250m_-103.55018_32.12529?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,338646.16726532887,107443.76845320665,107443.76845320665,1861239.0203062026,1598370.9229923126,6563646.081820763,2199885.1875715316,1601978.0806386597,6564525.424642704
96,CH4_1B2_250m_-103.55040_32.06519?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,11777.472241207302,3054.7444330391168,3054.7444330391168,3177128.277920143,2655350.5251576104,9769447.241130708,3188905.7501613507,2655352.2822628166,9769447.718714705
97,CH4_1B2_250m_-103.55291_32.44341?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,2705831.682349222,647719.1272223184,647719.1272223184,2074218.3339326018,1824449.428162051,5514570.475945764,4780050.016281824,1936015.4399411376,5552479.410312328
98,CH4_1B2_250m_-103.55742_32.06523?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,55530.643018264804,13480.082199439912,13480.082199439912,3173862.5699573853,2802537.482260748,8768379.957884833,3229393.21297565,2802569.9013749,8768390.319691097
99,CH4_1B2_250m_-103.55818_32.19830?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,4490239.39198645,498110.9646211837,498110.9646211837,1978600.1010898296,1687340.1677440861,5640860.934489577,6468839.49307628,1759326.966415989,5662810.840503722
100,CH4_1B2_250m_-103.55860_32.30117?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,403575.19345814135,190753.17720880097,190753.17720880097,2099969.5942492,1874665.1646423212,7005180.078049183,2503544.7877073414,1884345.0464653955,7007776.730212829
101,CH4_1B2_250m_-103.55960_32.15167?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,799691.5251251573,89139.42266450205,89139.42266450205,1927000.6033793986,1740939.9725362929,4735648.847845049,2726692.1285045557,1743220.5324191283,4736487.712088895
102,CH4_1B2_250m_-103.56018_32.22450?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,49364.87131640388,5604.731148863416,5604.731148863416,3256407.9578154422,2819866.3100249805,7092447.900730707,3305772.8291318463,2819871.8799663843,7092450.115269804
103,CH4_1B2_250m_-103.56127_32.16636?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,1115552.5723368083,263748.02122971934,263748.02122971934,3256407.9578154422,2819866.3100249805,7092447.900730707,1115552.5723368083,263748.02122971934,263748.02122971934
104,CH4_1B2_250m_-103.56200_32.06519?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,2644318.2403841843,1107628.0867678346,1107628.0867678346,3256407.9578154422,2819866.3100249805,7092447.900730707,2644318.2403841843,1107628.0867678346,1107628.0867678346
105,CH4_1B2_250m_-103.56217_31.41173?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,14344538.648511184,4076354.8703857027,4076354.8703857027,963994.0343731837,899919.9662841494,2548041.127620891,15308532.682884369,4174508.9501681635,4807201.120960593
106,CH4_1B2_250m_-103.56314_32.19910?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,24881.17378103,9279.825353545333,9279.825353545333,3143576.012232895,2863409.9318006705,8596511.03638918,3168457.186013925,2863424.968930269,8596516.045114996
107,CH4_1B2_250m_-103.56375_32.15281?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,154551.06575754253,52246.733894102756,52246.733894102756,2651193.0939612137,2254123.2359619956,8819370.97881158,2805744.159718756,2254728.6497728233,8819525.734590638
108,CH4_1B2_250m_-103.56686_32.01843?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,1001765.4390268221,209694.8972777904,209694.8972777904,869604.3216277426,797643.2398635491,2708376.7818396967,1871369.7606545647,824746.4386369683,2716482.4207700468
109,CH4_1B2_250m_-103.56767_32.06529?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,387085.67554942134,150922.2706630409,150922.2706630409,759489.7315223461,683219.3600866917,2430228.7764912955,1146575.4070717674,699690.092669145,2434910.5605480596
110,CH4_1B2_250m_-103.56807_32.19631?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,141863.8273668,37835.329131,37835.329131,2878466.5164664355,2503920.320713057,8107593.038176928,3020330.3438332356,2504206.158568066,8107681.319885818
111,CH4_1B2_250m_-103.56992_32.20465?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,540826.9059137977,138934.43572910392,138934.43572910392,1757251.2116785736,1571093.777863002,5556657.293254261,2298078.117592371,1577224.916196547,5558393.9273954965
112,CH4_1B2_250m_-103.57040_32.02799?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,160.42957216883335,34.298434246125,34.298434246125,3086486.85264879,2726542.99395072,8530764.64575791,3086647.2822209587,2726542.994166448,8530764.64582686
113,CH4_1B2_250m_-103.57322_32.03722?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,969839.8378940432,222974.8241796962,222974.8241796962,1658619.60020028,1455713.8897776084,4328881.043629475,2628459.4380943235,1472691.6517416066,4334619.805947527
114,CH4_1B2_250m_-103.57364_32.02006?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,168.03309975258333,64.64078893638333,64.64078893638333,2787163.9811423123,2457485.002325195,7112230.279936617,2787332.0142420647,2457485.0031753387,7112230.280230367
115,CH4_1B2_250m_-103.57469_32.19652?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,31220.04549592579,11199.183500491492,11199.183500491492,2999654.8681180403,2537792.612105659,11100911.80820068,3030874.913613966,2537817.322773478,11100917.457361817
116,CH4_1B2_250m_-103.57571_32.22448?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,185508.6333263502,49752.79895574163,49752.79895574163,2831633.238677293,2382826.764068728,8881141.66076226,3017141.8720036433,2383346.120177717,8881281.019060874
117,CH4_1B2_250m_-103.57617_32.41589?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,1606058.4956588035,596658.7526390161,596658.7526390161,1862875.0879190576,1591806.5282405599,5191619.27100938,3468933.583577861,1699955.7907339858,5225792.985013539
118,CH4_1B2_250m_-103.57628_32.00560?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,8268.781029010945,3107.056195289175,3107.056195289175,3080009.0524119087,2563966.2103211517,7408717.301900638,3088277.83344092,2563968.092911222,7408717.953416777
119,CH4_1B2_250m_-103.57786_32.23980?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,25382.11858046,9516.371120587,9516.371120587,2820032.4323669076,2331419.321830804,7026339.499177238,2845414.5509473677,2331438.7436785274,7026345.943590989
120,CH4_1B2_250m_-103.58087_32.28479?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,26472.36814141328,8977.874754494564,8977.874754494564,2803123.524371217,2401360.428858267,7244439.454462352,2829595.89251263,2401377.2114187866,7244445.017501747
121,CH4_1B2_250m_-103.58347_32.20410?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,811607.7140940264,193453.14106882436,193453.14106882436,1869819.9095598238,1673392.436728756,6132672.283476659,2681427.62365385,1684537.433567565,6135722.732841846
122,CH4_1B2_250m_-103.58544_32.22596?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,620.6353026014167,151.84280564850832,151.84280564850832,3034623.780998187,2648182.5018043653,10075689.826260153,3035244.4163007885,2648182.5061575845,10075689.827404305
123,CH4_1B2_250m_-103.58747_32.11524?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,118047.41427918331,18800.758343643,18800.758343643,3114903.7256132364,2684370.5205256026,8307348.546203781,3232951.13989242,2684436.3579681288,8307369.820624839
124,CH4_1B2_250m_-103.59381_32.48760?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,760588.3696605146,161585.02003816495,161585.02003816495,1926174.7362714647,1685282.4841557615,6275944.702028781,2686763.1059319796,1693011.1547485294,6278024.499922237
125,CH4_1B2_250m_-103.59491_32.21343?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,36430944.47905071,9600339.69938686,9600339.69938686,1926174.7362714647,1685282.4841557615,6275944.702028781,36430944.47905071,9600339.69938686,9600339.69938686
126,CH4_1B2_250m_-103.59513_32.06508?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,10419502.28175064,3914351.598928923,3914351.598928923,1926174.7362714647,1685282.4841557615,6275944.702028781,10419502.28175064,3914351.598928923,3914351.598928923
127,CH4_1B2_250m_-103.59657_32.26726?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,3859017.368534619,1042765.2109061053,1042765.2109061053,1926174.7362714647,1685282.4841557615,6275944.702028781,3859017.368534619,1042765.2109061053,1042765.2109061053
128,CH4_1B2_250m_-103.59846_32.27087?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,103077.94073961905,28722.283636110085,28722.283636110085,3091556.9830828607,2767361.527796323,9260530.905736184,3194634.92382248,2767510.5772344344,9260575.4478689
129,CH4_1B2_250m_-103.60098_32.20786?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,46213.32044931403,16136.403129222917,16136.403129222917,2938319.832770631,2476708.9513020837,6886990.776588133,2984533.1532199453,2476761.5171763743,6887009.6805737065
130,CH4_1B2_250m_-103.60164_32.57673?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,5565746.252308428,633811.1465910693,633811.1465910693,1912835.0467921635,1647409.6324941076,5633135.94408075,7478581.299100592,1765127.4930659984,5668680.369719007
131,CH4_1B2_250m_-103.60988_32.22555?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,542354.1977420248,36311.61445546678,36311.61445546678,1828275.2174693118,1566981.2459743898,4808133.424810819,2370629.4152113367,1567401.9135434963,4808270.537743002
132,CH4_1B2_250m_-103.61440_32.06245?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,3916.9150795767773,727.4282652598854,727.4282652598854,2939823.2796958373,2543750.380217584,6651754.97521884,2943740.194775414,2543750.484227764,6651755.014994199
133,CH4_1B2_250m_-103.61541_32.28230?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,43865.5862040765,18585.571589561005,18585.571589561005,2738889.568400723,2368149.61327773,7821945.4472056525,2782755.1546047996,2368222.5432460466,7821967.527581059
134,CH4_1B2_250m_-103.61584_32.17472?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,81826.62211848977,13625.926791838361,13625.926791838361,2837276.323475467,2406918.2222352275,7627488.256249474,2919102.945593957,2406956.791138745,7627500.427079935
135,CH4_1B2_250m_-103.61637_32.03453?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,48553.736427324024,11736.17482544174,11736.17482544174,2775577.326889544,2257164.977356096,6765614.622650755,2824131.0633168677,2257195.488388739,6765624.801895627
136,CH4_1B2_250m_-103.61749_32.23862?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,31592.97358402597,8813.916313930136,8813.916313930136,2663304.715741095,2221598.2233826653,7106770.022800875,2694897.689325121,2221615.7073755586,7106775.488370372
137,CH4_1B2_250m_-103.61762_32.06325?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,871703.7945986026,348949.58098118147,348949.58098118147,1899693.322602604,1761451.115205943,6131742.10721509,2771397.1172012067,1795682.555834188,6141663.217684725
138,CH4_1B2_250m_-103.61800_32.15645?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,5671.274820213889,1908.6735033354444,1908.6735033354444,3189857.283629543,2799128.0264526,8404167.949885834,3195528.558449757,2799128.677197061,8404168.166625584
139,CH4_1B2_250m_-103.62121_32.30838?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,15324866.973061237,4507681.141624109,4507681.141624109,3189857.283629543,2799128.0264526,8404167.949885834,15324866.973061237,4507681.141624109,4507681.141624109
140,CH4_1B2_250m_-103.62144_32.35434?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,2176249.4747585515,503934.15670355014,503934.15670355014,834405.8689525747,741787.3177920887,2819695.410913482,3010655.343711126,896770.9067145853,2864372.853631152
141,CH4_1B2_250m_-103.62146_32.13253?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,429481.1132126666,73011.20490398332,73011.20490398332,2769367.763670983,2376881.322144061,7760162.325144049,3198848.8768836493,2378002.408661276,7760505.779176163
142,CH4_1B2_250m_-103.62248_32.12483?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,643.0853889622445,302.8708574245583,302.8708574245583,3008180.6697129766,2550215.0792683144,8851387.692687482,3008823.7551019387,2550215.09725322,8851387.697869198
143,CH4_1B2_250m_-103.62652_32.03805?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,2963018.992222293,1749678.5960287224,1749678.5960287224,3008180.6697129766,2550215.0792683144,8851387.692687482,2963018.992222293,1749678.5960287224,1749678.5960287224
144,CH4_1B2_250m_-103.62663_32.20033?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,904719.4544787656,309722.03961624514,309722.03961624514,914645.0700587814,831593.4950583776,3057546.0860646144,1819364.524537547,887398.1535068995,3073193.096802264
145,CH4_1B2_250m_-103.62806_32.11299?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,823696.0089400314,362795.27809063456,362795.27809063456,1762501.8460975345,1600700.8707495648,6426739.198121484,2586197.855037566,1641299.391160332,6436971.114932553
146,CH4_1B2_250m_-103.63747_32.76290?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,1078635.5702735838,121818.83976580352,121818.83976580352,1936878.9999201256,1646618.1844221638,5723464.563216336,3015514.5701937093,1651118.1892861666,5724760.819118564
147,CH4_1B2_250m_-103.63792_32.14783?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,1179856.288754125,140961.74850257207,140961.74850257207,1941080.4910218238,1706355.9510955298,5027505.877008936,3120936.7797759487,1712168.463200988,5029481.639085712
148,CH4_1B2_250m_-103.63842_32.06395?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,128588.70013448277,75554.92510993875,75554.92510993875,2787034.3381274007,2533753.6361161526,6482766.723793371,2915623.0382618834,2534879.8857618864,6483206.995139905
149,CH4_1B2_250m_-103.63886_32.15091?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,958975.2417621925,240324.19597981469,240324.19597981469,829523.9606283188,779571.3005499706,2385531.0252123326,1788499.2023905113,815773.9465161393,2397605.8874268616
150,CH4_1B2_250m_-103.63888_32.20026?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,303001.4868229333,61216.00454050667,61216.00454050667,3087906.2930534715,2594126.224889803,8134457.9612683775,3390907.779876405,2594848.4098060383,8134688.29905943
151,CH4_1B2_250m_-103.64240_32.19638?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,939.1899401016946,371.49105818708335,371.49105818708335,3056279.623147252,2651656.882400025,7895547.746023825,3057218.8130873535,2651656.9084225483,7895547.754763283
152,CH4_1B2_250m_-103.64408_32.06491?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,40685.45647379096,11647.532251647484,11647.532251647484,2892009.721503102,2515147.6214065836,6173196.145414245,2932695.1779768933,2515174.590853436,6173207.133635227
153,CH4_1B2_250m_-103.64620_32.03650?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,858808.9234136943,246551.19824658555,246551.19824658555,631621.2160862426,566298.1953378324,2600217.977696942,1490430.1394999367,617641.5946159334,2611880.744769026
154,CH4_1B2_250m_-103.64717_32.16911?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,92569.65212106597,38207.97239246677,38207.97239246677,2631539.1824293565,2192593.846547927,7896260.940834191,2724108.8345504226,2192926.725878951,7896353.3795605935
155,CH4_1B2_250m_-103.65309_32.17065?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,1192818.0595949357,524169.53341746074,524169.53341746074,908819.6309253337,821568.7662370169,3311793.954154871,2101637.6905202693,974540.3723906428,3353018.475126529
156,CH4_1B2_250m_-103.65492_31.99775?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,343637.2017105943,93088.1642212321,93088.1642212321,2016383.4949280354,1847871.4443866971,5957823.6119767465,2360020.69663863,1850214.6581674942,5958550.79677481
157,CH4_1B2_250m_-103.65859_32.31316?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,65239.02607519543,31243.62050202717,31243.62050202717,3045769.2437616345,2831036.7892098366,7724329.733912891,3111008.26983683,2831209.1879056934,7724392.921261377
158,CH4_1B2_250m_-103.65894_32.16597?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,801260.7600851667,333406.0864643567,333406.0864643567,1838865.8314034715,1643078.9681671648,6462399.716356472,2640126.591488638,1676564.3781629005,6470994.4917652095
159,CH4_1B2_250m_-103.65901_32.10756?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,791297.5178144064,350102.97897332837,350102.97897332837,1897225.9222538057,1724047.921693207,5665153.6885389,2688523.4400682123,1759236.5765242223,5675961.452534002
160,CH4_1B2_250m_-103.66265_32.24134?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,774020.6185479499,88192.83936430316,88192.83936430316,2862217.8740692073,2495745.8090891005,8020655.609549564,3636238.4926171573,2497303.5699531897,8021140.46653679
161,CH4_1B2_250m_-103.66808_32.17014?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,49912.697166885526,14886.332936796078,14886.332936796078,2719919.164572346,2189933.721959945,10800778.949418679,2769831.8617392317,2189984.3171780114,10800789.208067805
162,CH4_1B2_250m_-103.66855_32.13799?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,139742.6659123003,27802.576900034048,27802.576900034048,2812379.8255165946,2506024.043695909,8836647.21496542,2952122.491428895,2506178.263983685,8836690.952219523
163,CH4_1B2_250m_-103.67236_32.19981?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,22666.743830433334,13806.290955345754,13806.290955345754,3128828.7926975926,2611370.9646276347,8881954.697530292,3151495.5365280258,2611407.4612304773,8881965.427913483
164,CH4_1B2_250m_-103.67268_32.25956?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,493299.8713504901,268784.264945066,268784.264945066,1802132.031621993,1615509.09754037,5328975.131966678,2295431.902972483,1637716.2835234192,5335749.332399465
165,CH4_1B2_250m_-103.67310_32.03456?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,65326.62386101678,20289.995489283727,20289.995489283727,1888890.3875505924,1630190.398598891,5303444.761414525,1954217.0114116091,1630316.662369911,5303483.5741512505
166,CH4_1B2_250m_-103.67508_32.18255?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,208405.3303724914,166107.5843183202,166107.5843183202,2280141.590961527,2095437.9398305274,6164769.618420411,2488546.9213340185,2102011.3913224335,6167007.068081519
167,CH4_1B2_250m_-103.67613_32.05210?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,73820.76232453267,23803.322702356752,23803.322702356752,3026469.959734737,2576281.406367402,13136036.85593618,3100290.7220592694,2576391.368361195,13136058.422475342
168,CH4_1B2_250m_-103.67640_32.26041?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,442231.2520355587,258877.96142666,258877.96142666,859254.6588936393,807730.9054590813,3664450.4346790174,1301485.910929198,848202.2250301932,3673583.3714687442
169,CH4_1B2_250m_-103.67811_32.30332?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,811285.2438992704,420739.6609490507,420739.6609490507,2191838.7077621976,2017185.6315553198,6718884.702176898,3003123.951661468,2060596.9364358368,6732045.268968582
170,CH4_1B2_250m_-103.68045_31.99594?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,827409.8013177604,158225.04826986627,158225.04826986627,1957279.9896880304,1700317.843633381,4839670.375662719,2784689.7910057907,1707663.882407212,4842256.138513051
171,CH4_1B2_250m_-103.68186_32.09982?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,693055.9084914504,211771.96022342192,211771.96022342192,1587572.5610776455,1362763.27172726,6103961.206129368,2280628.469569096,1379119.6822269112,6107633.729118763
172,CH4_1B2_250m_-103.68260_32.12088?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,29047.693818825177,11798.71965298811,11798.71965298811,3095558.7103043357,2568788.6112619843,11386515.977875069,3124606.404123161,2568815.707507007,11386522.090796191
173,CH4_1B2_250m_-103.68309_32.20080?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,866935.5306961648,293673.2542777948,293673.2542777948,1929794.475025883,1709437.4713608788,5771464.670173952,2796730.0057220478,1734479.8784565895,5778931.425388628
174,CH4_1B2_250m_-103.68445_32.21220?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,469478.7354156312,244993.65206453702,244993.65206453702,2114369.9181011515,1895949.5288826479,5797048.9384760065,2583848.6535167824,1911712.9767886847,5802223.563827725
175,CH4_1B2_250m_-103.68578_32.20044?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,21774.839830689998,5181.325712313308,5181.325712313308,3128347.193908133,2723440.8463706635,6991735.900367608,3150122.033738823,2723445.775082789,6991737.820215043
176,CH4_1B2_250m_-103.68594_32.29894?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,13891.531474642688,3212.6383301249043,3212.6383301249043,3412033.360748985,2954046.4539495357,6821418.118285448,3425924.8922236273,2954048.2008824544,6821418.874802955
177,CH4_1B2_250m_-103.68658_32.16636?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,140951.2963768772,25424.899464633017,25424.899464633017,3437676.842425773,3088327.031098109,8980845.148090007,3578628.13880265,3088431.6855847808,8980881.137142647
178,CH4_1B2_250m_-103.69063_32.29894?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,9578.710860246667,1924.3855281603335,1924.3855281603335,3081875.8806041847,2616696.215946336,7788028.06280094,3091454.5914644315,2616696.9235674837,7788028.300554295
